Есть такая таблица с названием "Выпуск из аспирантуры по отраслям наук"

	Выпуск из аспирантуры								из него с защитой диссертации
	2010	2011	2012	2013	2014	2015	2016	2017	2010	2011	2012	2013	2014	2015	2016	2017
Всего 	33763	33082	35162	34733	28273	25826	25992	10612	9611	9635	9195	8979	5189	4651	3730	1455
в том числе по отраслям наук:
физико-математические	1771	1910	2106	2069	1669	1230	1677	907	437	476	472	481	311	272	318	143
химические	878	806	935	919	694	497	658	428	306	283	259	315	158	146	153	106
биологические	1680	1750	1763	1740	1371	1235	1437	763	439	469	442	458	241	232	173	104
технические	7761	7547	8491	8738	7282	6723	7286	3079	1903	1963	1945	2129	1246	1093	1030	466
сельскохозяйственные	1078	1074	1188	1212	1024	1006	954	381	296	385	386	443	245	254	223	96
исторические и археология	1093	1003	1074	1072	932	855	823	219	341	319	263	233	143	127	112	28
филологические	1573	1509	1516	1556	1323	1248	1204	443	552	522	515	491	271	272	241	55
философские	670	669	719	675	555	492	475	162	202	209	179	147	81	77	53	19
искусствоведение	521	431	569	558	549	304	287	97	79	46	60	44	26	12	26	12
культурология	223	248	266	242	181	179	165	69	56	84	81	64	30	23	27	10
документальная информация	80	102	89	102	67	63	77	25	9	14	6	9	5	6	11	2
психологические	770	735	854	718	621	544	504	169	215	214	193	128	103	69	32	7
экономические	5887	5507	5800	5479	4040	3839	3206	1030	1754	1676	1690	1490	703	582	275	72
педагогические	2179	2084	2202	2095	1800	1580	1437	529	703	643	647	487	358	286	190	46
социологические	548	633	634	571	460	423	387	123	157	180	162	143	78	68	47	11
юридические	2554	2494	2309	2270	1737	1461	1371	497	551	555	457	371	226	205	148	24
политология	466	497	456	458	393	392	385	130	127	146	101	118	52	48	27	4
медицинские	2798	2865	2671	2883	2429	2611	2577	1213	1225	1175	1009	1161	761	722	490	219
науки о Земле	1159	1111	1422	1299	1103	1104	1050	336	236	256	307	258	149	154	152	29
прочие науки	74	107	98	77	43	40	32	12	23	20	21	9	2	3	2	2


Составь на основе этих данных sql скрипт используя диалект postgresql (только создание таблицы и вставки данных). Сделай чтобы год хранился в отдельном столбце
