напиши sql запрос, который создает таблицу и вставляет в нее данные:

	Количество организаций представив-ших отчет, единиц 	Направлено денежных средств на																														
		Общий объем израсходованных денежных средств по всем видам деятельности, тыс рублей	Расходы по финансированию долгосрочных инвестиций	из них				Расходы обслуживающих производств и хозяйств, состоящих на балансе	из них																Выплаты социального характера работникам	Надбавки к пенсиям, еди-новременные пособия уходящим на пенсию	На благотвори-тельные цели	Перечислено обособленным структурным подразделениям, имеющим отдельный баланс и расчетный счет	Предста-вительские расходы	Оплата услуг банков и других финансово-кредитных учреждений	Оплата услуг рекламных агенств и аудиторских организаций	Отчисления в отраслевые и межотраслевые внебюджетные фонды научно-исследова-тельских и опытно-конструкторских работ
				Долгосрочные инвестиции по обычным видам деятельности	из них				Текущие расходы на содержание объектов санаторно-курортных учреждений	Текущие расходы на содержание детских садов и яслей	Текущие расходы на содержание пансионатов, домов отдыха, детских лагерей	Текущие расходы на содержание объектов физкультурно-оздоровительной деятельности	Текущие расходы на содержание объектов образования	Текущие расходы на содержание учреждений клубного типа	Расходы по предоставлению услуг лечебных  санаторно- курортных учреждений	Оплата сторонних организаций по предоставлению услуг лечебных и санаторно-курортных учреждений	Расходы по предоставлению услуг пансионатов, домов отдыха, детских лагерей 	Оплата сторонних организаций по предоставлению услуг пансионатов, домов отдыха, детских лагерей 	Расходы по предоставлению услуг физкультурно-оздоровительной деятельности	Оплата сторонних организаций по предоставлению услуг физкультурно-оздоровитель-ной деятельности	Расходы по предоставлению услуг образования	Оплата сторонних организаций по предоставлению услуг образования	Расходы по предоставлению услуг учреждений клубного типа	Оплата сторонних организаций по предоставлению услуг учреждениям клубного типа								
					Расходы на финансирование затрат по капитальным вложениям	Расходы на создание и приобретение программного обеспечения 	Расходы на научно-исследовате-льские и опытно-конструкторские работы																									
A	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
Всего по Российской Федерации	84 841	661 981 352 848	55 549 768 983	41 305 353 268	20 642 726 345	435 873 337	325 016 236	260 857 569	24 257 459	1 673 987	10 494 011	13 018 373	3 834 652	3 867 907	22 544 753	5 919 327	10 198 108	3 219 472	7 458 972	2 564 049	6 281 280	2 111 812	3 455 392	669 868	329 602 940	32 890 648	604 353 471	8 658 690 772	49 636 747	802 116 553	1 348 679 740	4 208 770
СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО	3 591	8 486 703 201	905 490 552	726 576 195	513 724 415	652 305	95 089	6 651 631	81 635	54 654	1 266 363	289 468	7 023	27 423	80 501	30 703	25 736	5 408	27 538	2 332	10 037	5 567	16 440	1 930	3 089 088	251 054	8 655 527	705 131	1 009 018	9 182 100	2 620 199	18 477
  растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях	3 144	7 422 375 212	779 446 838	650 703 957	445 726 397	590 337	88 562	6 408 785	81 155	54 654	1 244 739	225 787	1 039	19 972	77 283	27 485	3 806	2 303	19 057	977	8 212	3 742	499	420	2 748 011	219 449	7 627 033	534 553	957 442	7 761 946	2 088 957	6 333
   лесоводство и лесозаготовки	161 	139 578 772 	9 922 110 	9 327 537 	7 966 769 	3 285 		13 512 				1 041 			2 077 	2 077 			9 	9 					45 730 	1 542 	169 427 	171 	6 005 	112 724 	58 180 	
   рыболовство и рыбоводство	286 	924 749 217 	116 121 604 	66 544 701 	60 031 249 	58 683 	6 527 	229 334 	480 		21 624 	62 640 	5 984 	7 451 	1 141 	1 141 	21 930 	3 105 	8 472 	1 346 	1 825 	1 825 	15 941 	1 510 	295 347 	30 063 	859 067 	170 407 	45 571 	1 307 430 	473 062 	12 144 
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ	1 575 	48 567 585 280 	7 112 271 492 	6 165 524 309 	3 977 207 211 	10 483 410 	4 464 479 	54 259 215 	6 017 637 	1 046 315 	614 903 	3 196 923 	353 993 	1 808 058 	4 054 982 	621 484 	1 318 718 	460 852 	1 627 459 	464 814 	460 062 	171 862 	856 959 	276 994 	51 500 096 	8 097 875 	54 749 413 	39 615 683 	1 060 766 	70 434 426 	37 820 349 	228 883 
