напиши sql запрос, который создает таблицу и вставляет в нее данные:

	Количество организаций представив-ших отчет, единиц 	Направлено денежных средств за счет прибыли на																														
		Общий объем израсходованных денежных средств по всем видам деятельности, тыс рублей	Расходы по финансированию долгосрочных инвестиций	из них				Расходы обслуживающих производств и хозяйств, состоящих на балансе	из них																Выплаты социального характера работникам	Надбавки к пенсиям, единовременные пособия уходящим на пенсию	На благотвори-тельные цели	Перечислено обособленным структурным подразделениям, имеющим отдельный баланс и расчетный счет	Представитель-ские расходы	Оплата услуг банков и других финансово-кредитных учреждений	Рекламных агенств и аудиторских организаций	Отчисления в отраслевые и межотраслевые внебюджетные фонды научно-исследоватеьских и опытно-конструкторских работ
				Долгосрочные инвестиции по обычным видам деятельности	из них				Текущие расходы на содержание объектов санаторно-курортных учреждений	Текущие расходы на содержание детских садов и яслей	Текущие расходы на содержание пансионатов, домов отдыха, детских лагерей	Текущие расходы на содержание объектов физкультурно-оздоровитель-ной деятельности	Текущие расходы на содержание объектов образования	Текущие расходы на содержание учреждений клубного типа	Расходы по предоставлению услуг лечебных  санаторно- курортных учреждений	Оплата сторонних организаций по предоставлению услуг лечебных и санаторно-курортных учреждений	Расходы по предоставлению услуг пансионатов, домов отдыха, детских лагерей 	Оплата сторонних организаций по предоставлению услуг пансионатов, домов отдыха, детских лагерей 	Расходы по предоставле-нию услуг физкультурно-оздоровительной деятельности	Оплата сторонних организаций по предоставлению услуг физкультурно-оздоровительной деятельности	Расходы по предоставлению услуг образования	Оплата сторонних организаций по предоставлению услуг образования	Расходы по предоставлению услуг учреждений клубного типа	Оплата сторонних организаций по предоставлению услуг учреждениям клубного типа								
					Расходы на финансирование затрат по капитальным вложениям	Расходы на создание и приобретение программного обеспечения 	Расходы на научно-исследователькие и опытно-конструкторские работы																									
A	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
 Всего по Российской Федерации	19 667 	12 305 480 597 	880 026 883 	709 184 713 	 484 938 195   	 5 275 042   	 11 339 871   	 20 328 597   	 1 688 563   	 350 799   	 3 466 484   	 2 455 273   	 486 474   	 562 524   	 1 812 898   	 397 926   	 1 114 307   	 353 193   	 1 130 891   	 292 544   	 197 684   	 142 620   	 574 626   	 102 206   	 79 180 989   	 10 028 774   	 338 094 426   	 1 185 057   	 5 675 562   	 25 444 043   	 18 701 301   	 177 132   
 СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО	1 262 	347 985 834 	67 240 962 	57 130 482 	49 130 306 	19 388 	19 724 	2 028 952 	5 549 	23 654 	1 237 957 	141 175 	5 984 	8 331 	25 454 	7 109 	2 563 	1 124 	11 426 	447 	553 	525 	79 		1 473 384 	140 977 	4 630 158 	1 111 	232 847 	1 373 120 	545 893 	450 
   растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях	1 115 	274 634 745 	53 896 830 	50 931 388 	43 683 816 	14 825 	16 496 	1 947 570 	5 549 	23 654 	1 231 989 	140 563 		8 331 	24 313 	5 968 	2 563 	1 124 	11 426 	447 	553 	525 	79 		1 379 327 	128 280 	4 142 392 		198 617 	1 101 404 	512 312 	450 
  лесоводство и лесозаготовки	38 	3 856 069 	2 440 066 	2 435 790 	2 359 287 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14 093 	600 	12 508 	-	234 	9 800 	470 	-
   рыболовство и рыбоводство	109 	69 495 020 	10 904 066 	3 763 304 	3 087 203 	4 563 	3 228 	81 382 	-	-	5 968 	612 	5 984 	-	1 141 	1 141 	-	-	-	-	-	-	-	-	79 964 	12 097 	475 258 	1 111 	33 996 	261 916 	33 111 	-
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ	605 	2 656 191 586 	173 887 643 	133 044 404 	126 430 814 	93 809 	98 996 	2 425 366 	192 260 	-	144 046 	447 586 	8 177 	211 852 	340 168 	8 633 	22 324 	7 995 	333 369 	30 295 	14 076 	3 405 	210 178 	5 954 	10 362 498 	1 128 402 	32 476 720 	-	276 217 	777 460 	150 137 	-
  добыча угля	102 	331 870 466 	53 420 670 	51 370 170 	45 298 615 	55 804 	-	114 958 	24 685 	-	51 037 	-	8 177 	-	5 719 	-	3 172 	-	2 582 	-	284 	284 	-	-	3 914 309 	801 032 	8 088 860 	-	35 649 	343 016 	21 011 	-
