напиши sql запрос, который создает таблицу и вставляет в нее данные:

	Количество организаций, единиц	Направлено денежных средств на																														
		Общий объем израсходованных денежных средств по всем видам деятельности, тыс рублей	Расходы по финансированию долгосрочных инвестиций	из них				Расходы обслуживающих производств и хозяйств, состоящих на балансе	из них																Выплаты социального характера работникам	Надбавки к пенсиям, единовре-менные пособия уходящим на пенсию	На благотвори-тельные цели	Перечислено обособленным структурным подразделениям, имеющим отдельный баланс и расчетный счет	Представи-тельские расходы	Оплата услуг банков и других финансово-кредитных учреждений	Оплата услуг рекламных агенств и аудиторских организаций	Отчисления в отраслевые и межотраслевые внебюджетные фонды научно-исследовательских и опытно-конструкторских работ
				Долгосроч-ные инвестиции по обычным видам деятельности	из них				Текущие расходы на содержание объектов санаторно-курортных учреждений	Текущие расходы на содержание детских садов и яслей	Текущие расходы на содержание пансионатов, домов отдыха, детских лагерей	Текущие расходы на содержание объектов физкультурно-оздоровительной деятельности	Текущие расходы на содержание объектов образования	Текущие расходы на содержание учреждений клубного типа	Расходы по предоставлению услуг лечебных  санаторно- курортных учрежде-ний	Оплата сторонних организаций по предоставлению услуг лечебных и санаторно-курортных учреждений	Расходы по предоставлению услуг пансионатов, домов отдыха, детских лагерей 	Оплата сторонних организаций по предоставлению услуг пансионатов, домов отдыха, детских лагерей 	Расходы по предоставлению услуг физкультурно-оздоровительной деятельности	Оплата сторонних организаций по предоставлению услуг физкультурно-оздоровительной деятельности	Расходы по предоставлению услуг образования	Оплата сторонних организаций по предоставлению услуг образования	Расходы по предоставлению услуг учреждений клубного типа	Оплата сторонних организаций по предоставлению услуг учреждениям клубного типа								
					Расходы на финансирование затрат по капитальным вложениям	Расходы на создание и приобретение программного обеспечения 	Расходы на научно-исследова-тельские и опытно-конструкторские работы																									
A	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
Российская Федерация	19 667 	12 305 480 597 	880 026 883 	709 184 713 	484 938 195 	5 275 042 	11 339 871 	20 328 597 	1 688 563 	350 799 	3 466 484 	2 455 273 	486 474 	562 524 	1 812 898 	397 926 	1 114 307 	353 193 	1 130 891 	292 544 	197 684 	142 620 	574 626 	102 206 	79 180 989 	10 028 774 	338 094 426 	1 185 057 	5 675 562 	25 444 043 	18 701 301 	177 132 
Центральный                    федеральный округ	7 082 	5 431 026 139 	357 604 385 	259 463 019 	111 232 053 	3 780 712 	9 818 163 	5 492 128 	557 185 	178 885 	347 883 	345 405 	35 411 	58 354 	432 461 	212 744 	471 179 	234 094 	470 401 	201 262 	89 952 	68 399 	71 281 	50 616 	23 822 663 	1 504 265 	143 386 627 	596 284 	3 440 186 	7 870 521 	14 899 120 	141 304 
Белгородская область	173	151 162 520	3 700 094	1 459 491	1 457 581	1 795	-	503 193	888	-	68 255	103 923	-	-	2 736	273	54 283	-	119 036	-	-	-	-	-	1 004 275	53 800	7 858 386	-	65 280	1 030	2 217	-
Брянская область	73	5 884 978	120 177	120 177	119 579	598	-	8 182	3 865	-	-	-	-	-	3 735	-	-	-	-	-	-	-	-	-	509 768	72 825	1 665 416	-	1 388	119	60	-
Владимирская область	187	122 682 904	8 523 713	8 378 936	7 868 467	20 467	16 102	331 659	45 116	-	79 114	42 855	-	25 780	28 818	1 271	44 742	4 060	2 979	905	377	-	3 955	1 476	325 603	27 876	281 431	-	36 142	227 079	1 250 667	40
Воронежская область	222	10 273 948	1 692 384	1 692 384	655 276	-	-	83 809	15 374	72	22 437	4 256	-	6 384	2 124	-	1 490	243	-	-	-	-	610	-	269 901	30 885	654 776	-	48 083	99 906	99 249	-
Ивановская область	111	2 787 042	478 736	478 736	89 327	1 230	-	7 870	333	-	-	181	-	427	60	60	140	-	445	-	-	-	86	-	69 966	3 296	148 368	-	4 848	18 731	1 798	28
Калужская область	61	5 096 236	332 617	332 617	303 789	-	28 828	8 578	754	-	-	-	-	720	7 062	-	-	-	-	-	-	-	42	-	52 018	5 453	36 412	-	3 058	33	-	-
