напиши sql запрос, который создает таблицу и вставляет в нее данные, но перед этим транспонируй таблицу и оставь только сами округа, остальное нужно убрать:

-	Количество организаций, единиц	Направлено денежных средств на																														
		Общий объем израсходованных денежных средств по всем видам деятельности, тыс рублей	Расходы по финансированию долгосрочных инвестиций	из них				Расходы обслуживающих производств и хозяйств, состоящих на балансе	из них																Выплаты социального характера работникам	Надбавки к пенсиям, единовре-менные пособия уходящим на пенсию	На благотвори-тельные цели	Перечислено обособленным структурным подразделениям, имеющим отдельный баланс и расчетный счет	Представи-тельские расходы	Оплата услуг банков и других финансово-кредитных учреждений	Оплата услуг рекламных агенств и аудиторских организаций	Отчисления в отраслевые и межотраслевые внебюджетные фонды научно-исследовательских и опытно-конструкторских работ
				Долгосрочные инвестиции по обычным видам деятельности	из них				Текущие расходы на содержание объектов санаторно-курортных учрежде-ний	Текущие расходы на содержание детских садов и яслей	Текущие расходы на содержание пансионатов, домов отдыха, детских лагерей	Текущие расходы на содержание объектов физкультурно-оздоровительной деятельности	Текущие расходы на содержание объектов образования	Текущие расходы на содержание учреждений клубного типа	Расходы по предоставлению услуг лечебных  санаторно-курортных учреждений	Оплата сторонних организаций по предоставлению услуг лечебных и санаторно-курортных учреждений	Расходы по предоставлению услуг пансионатов, домов отдыха, детских лагерей 	Оплата сторонних организаций по предоставлению услуг пансионатов, домов отдыха, детских лагерей 	Расходы по предоставлению услуг физкультурно-оздоровительной деятельности	Оплата сторонних организаций по предоставлению услуг физкультурно оздоровительной деятельности	Расходы по предоставлению услуг образования	Оплата сторонних организаций по предоставлению услуг образования	Расходы по предоставлению услуг учреждений клубного типа	Оплата сторонних организаций по предоставлению услуг учреждениям клубного типа								
					Расходы на финансирование затрат по капитальным вложениям	Расходы на создание и приобретение программного обеспечения 	Расходы на научно-исследова-тельские и опытно-конструкторские работы																									
A	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
Российская Федерация	84 841 	661 981 352 848 	55 549 768 983 	41 305 353 268 	20 642 726 345 	435 873 337 	325 016 236 	260 857 569 	24 257 459 	1 673 987 	10 494 011 	13 018 373 	3 834 652 	3 867 907 	22 544 753 	5 919 327 	10 198 108 	3 219 472 	7 458 972 	2 564 049 	6 281 280 	2 111 812 	3 455 392 	669 868 	329 602 940 	32 890 648 	604 353 471 	8 658 690 772 	49 636 747 	802 116 553 	1 348 679 740 	4 208 770 
Центральный                    федеральный округ	32 307 	396 836 652 871 	27 827 600 978 	21 000 312 157 	7 295 196 390 	274 341 753 	224 868 881 	125 332 498 	10 176 967 	387 795 	2 371 998 	4 447 807 	1 350 005 	214 797 	5 587 912 	2 231 231 	3 871 592 	1 315 609 	2 005 555 	758 984 	3 709 338 	1 498 872 	241 841 	92 579 	136 080 393 	6 482 355 	277 424 305 	1 199 780 998 	35 229 214 	471 508 093 	1 007 720 678 	3 684 918 
Белгородская область	633 	4 948 170 598 	284 811 175 	182 218 926 	93 749 771 	1 021 455 	685 275 	1 952 610 	102 273 	-	96 094 	138 848 	-	3 	163 458 	7 249 	71 399 	-	120 810 	69 	-	-	-	-	1 896 087 	125 133 	9 727 156 	1 849 866 	179 280 	45 095 197 	1 832 655 	5 799 
Брянская область	460 	1 433 247 690 	77 722 300 	62 907 003 	57 555 818 	169 534 	350 043 	378 629 	50 106 	-	25 674 	17 976 	-	617 	71 602 	23 444 	4 404 	-	6 094 	37 	3 091 	3 091 	151 	-	724 286 	102 531 	1 840 976 	2 139 065 	179 968 	1 280 623 	1 027 061 	-
Владимирская область	730 	1 858 114 514 	122 579 170 	113 622 725 	49 734 651 	1 020 115 	8 401 856 	488 267 	52 925 	-	92 303 	44 083 	-	25 886 	69 597 	10 699 	78 155 	9 301 	2 979 	905 	1 663 	-	3 955 	1 476 	632 706 	39 839 	887 385 	15 602 	183 903 	2 785 570 	24 914 583 	1 593 
Воронежская область	1 066 	3 471 005 567 	130 539 451 	120 618 963 	84 520 265 	257 343 	1 777 213 	1 646 908 	741 181 	72 	165 573 	13 604 	14 388 	10 122 	9 567 	317 	43 836 	2 213 	50 319 	186 	11 798 	1 239 	24 084 	453 	1 058 222 	163 127 	1 065 391 	7 424 500 	521 481 	3 047 414 	3 381 984 	-
Ивановская область	528 	718 075 287 	16 292 138 	16 255 192 	13 938 984 	221 304 	150 056 	70 465 	333 	-	65 	5 193 	-	427 	2 654 	2 654 	655 	515 	4 013 	-	2 782 	2 392 	86 	-	138 594 	24 184 	171 248 	-	46 411 	1 066 839 	846 804 	28 
Калужская область	671 	2 262 316 013 	128 576 168 	51 828 718 	44 755 728 	1 005 726 	1 533 401 	341 073 	754 	4 744 	-	1 120 	29 	14 149 	7 455 	-	107 030 	-	-	-	606 	-	42 	-	693 870 	26 873 	759 270 	-	219 934 	2 958 353 	2 407 592 	-
Костромская область	312 	591 764 458 	13 452 761 	13 059 198 	10 741 932 	56 218 	-	28 150 	3 907 	-	-	59 	1 452 	-	4 004 	1 628 	-	-	202 	24 	3 810 	3 810 	-	-	205 209 	18 092 	243 570 	-	25 926 	572 759 	480 540 	-
Курская область	504 	1 686 616 157 	105 823 798 	66 827 483 	51 878 837 	236 511 	3 573 189 	160 700 	46 870 	2 388 	197 	12 197 	-	2 874 	26 514 	12 046 	2 402 	1 478 	30 629 	320 	3 999 	3 999 	39 	-	653 859 	40 356 	3 851 608 	1 111 978 	157 908 	2 319 585 	328 043 	-
Липецкая область	503 	3 140 634 702 	215 737 731 	200 037 644 	143 653 902 	1 063 800 	337 429 	611 310 	3 134 	-	38 183 	19 810 	-	-	3 153 	-	1 466 	1 466 	13 086 	-	-	-	-	-	1 303 924 	122 452 	4 266 257 	16 938 	155 207 	2 571 759 	3 074 264 	-
Московская область	4 454 	42 057 792 209 	2 963 195 606 	2 127 082 210 	817 623 383 	20 966 020 	30 664 482 	40 422 699 	1 441 203 	98 975 	874 536 	211 948 	248 740 	61 152 	1 184 586 	138 407 	2 222 951 	725 317 	129 823 	93 635 	1 699 577 	489 010 	29 587 	17 573 	23 174 758 	474 351 	22 419 064 	41 220 858 	5 498 971 	86 078 704 	132 381 553 	61 014 
Орловская область	381 	869 212 445 	54 976 195 	53 913 856 	33 091 636 	112 686 	347 992 	68 815 	16 782 	-	-	-	-	111 	1 182 	1 182 	-	-	6 577 	447 	-	-	1 005 	-	256 036 	23 537 	369 535 	64 989 	62 243 	636 002 	264 716 	763 
Рязанская область	536 	1 758 259 911 	105 956 933 	84 872 453 	62 949 324 	405 503 	189 534 	435 493 	12 823 	-	29 678 	7 237 	-	107 	40 287 	3 088 	59 191 	2 100 	2 496 	61 	70 259 	-	-	-	846 495 	71 738 	621 865 	23 129 896 	237 561 	1 253 877 	1 873 205 	-
Смоленская область	560 	1 215 769 276 	45 441 475 	33 739 356 	33 073 282 	211 541 	94 390 	592 670 	106 035 	435 	36 821 	13 970 	-	12 142 	203 281 	112 687 	24 665 	-	13 020 	109 	675 	-	10 751 	-	531 237 	61 773 	392 292 	-	95 803 	1 140 855 	1 011 228 	-
Тамбовская область	386 	1 145 225 309 	70 648 135 	67 885 145 	51 270 142 	513 182 	9 394 	310 578 	3 176 	-	13 305 	23 122 	790 	4 156 	16 402 	15 984 	6 518 	1 438 	4 598 	305 	36 	36 	311 	302 	232 569 	40 725 	252 213 	-	82 799 	1 716 057 	405 374 	-
Тверская область	738 	1 426 787 705 	64 376 689 	42 400 205 	35 454 783 	1 083 506 	2 591 251 	275 459 	18 891 	-	12 358 	6 507 	-	745 	30 900 	3 293 	13 235 	885 	709 	-	-	-	-	-	471 753 	24 370 	934 211 	56 304 	231 004 	1 681 600 	999 451 	635 
